ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
AFG,Afghanistan,urban,Sanitation,2006,17.4543,1016520.3608,Limited service
AFG,Afghanistan,total,Drinking water,2006,3.83043,973852.75599,Limited service
AFG,Afghanistan,rural,Drinking water,2006,3.91769,767875.52882,Limited service
AFG,Afghanistan,urban,Drinking water,2006,3.53676,205977.17855,Limited service
AFG,Afghanistan,total,Hygiene,2006,37.96257,9651638.56018,No handwashing facility
AFG,Afghanistan,rural,Hygiene,2006,44.09848,8643387.80936,No handwashing facility
AFG,Afghanistan,urban,Hygiene,2006,17.3123,1008250.28235,No handwashing facility
AFG,Afghanistan,total,Sanitation,2006,21.09097,5362188.28841,Open defecation
AFG,Afghanistan,rural,Sanitation,2006,26.12461,5120473.82587,Open defecation
AFG,Afghanistan,urban,Sanitation,2006,4.15038,241714.13304,Open defecation
AFG,Afghanistan,total,Drinking water,2006,20.35664,5175490.53347,Surface water
AFG,Afghanistan,rural,Drinking water,2006,24.48243,4798604.7678,Surface water
AFG,Afghanistan,urban,Drinking water,2006,6.47136,376885.45758,Surface water
AFG,Afghanistan,total,Sanitation,2006,13.74012,3493300.3899,Safely managed service
AFG,Afghanistan,rural,Sanitation,2006,13.95952,2736092.90722,Safely managed service
AFG,Afghanistan,urban,Sanitation,2006,13.00173,757207.30957,Safely managed service
AFG,Afghanistan,total,Drinking water,2006,15.54242,3951518.70312,Safely managed service
AFG,Afghanistan,rural,Drinking water,2006,12.64021,2477505.48762,Safely managed service
AFG,Afghanistan,urban,Drinking water,2006,25.30974,1474013.06244,Safely managed service
AFG,Afghanistan,total,Sanitation,2006,42.72541,10862549.29204,Unimproved
AFG,Afghanistan,rural,Sanitation,2006,43.85452,8595571.5512,Unimproved
AFG,Afghanistan,urban,Sanitation,2006,38.92544,2266977.43473,Unimproved
AFG,Afghanistan,total,Drinking water,2006,35.59717,9050257.31224,Unimproved
AFG,Afghanistan,rural,Drinking water,2006,39.05472,7654801.14298,Unimproved
AFG,Afghanistan,urban,Drinking water,2006,23.96086,1395455.91981,Unimproved
AFG,Afghanistan,total,Hygiene,2007,35.50687,9199776.89821,Basic service
AFG,Afghanistan,rural,Hygiene,2007,26.30723,5240744.70323,Basic service
AFG,Afghanistan,urban,Hygiene,2007,66.11009,3959031.75213,Basic service
AFG,Afghanistan,total,Sanitation,2007,16.44533,4260960.57741,Basic service
AFG,Afghanistan,rural,Sanitation,2007,13.13922,2617503.9624,Basic service
AFG,Afghanistan,urban,Sanitation,2007,27.44334,1643456.50903,Basic service
AFG,Afghanistan,total,Drinking water,2007,25.77925,6679364.32379,Basic service
AFG,Afghanistan,rural,Drinking water,2007,20.9327,4170067.86101,Basic service
AFG,Afghanistan,urban,Drinking water,2007,41.90161,2509296.20265,Basic service
AFG,Afghanistan,total,Hygiene,2007,26.58575,6888328.2058,Limited service
AFG,Afghanistan,rural,Hygiene,2007,29.59429,5895570.19139,Limited service
AFG,Afghanistan,urban,Hygiene,2007,16.57761,992757.76682,Limited service
AFG,Afghanistan,total,Sanitation,2007,7.07416,1832905.27057,Limited service
AFG,Afghanistan,rural,Sanitation,2007,3.81866,760727.18194,Limited service
AFG,Afghanistan,urban,Sanitation,2007,17.90382,1072177.98833,Limited service
AFG,Afghanistan,total,Drinking water,2007,3.9407,1021028.88751,Limited service
AFG,Afghanistan,rural,Drinking water,2007,4.05692,808191.38882,Limited service
AFG,Afghanistan,urban,Drinking water,2007,3.55408,212837.45919,Limited service
AFG,Afghanistan,total,Hygiene,2007,37.90738,9821746.82333,No handwashing facility
AFG,Afghanistan,rural,Hygiene,2007,44.09848,8784993.30893,No handwashing facility
AFG,Afghanistan,urban,Hygiene,2007,17.3123,1036754.4582,No handwashing facility
AFG,Afghanistan,total,Sanitation,2007,20.51309,5314911.27995,Open defecation
AFG,Afghanistan,rural,Sanitation,2007,25.52653,5085218.76826,Open defecation
AFG,Afghanistan,urban,Sanitation,2007,3.83553,229692.34349,Open defecation
AFG,Afghanistan,total,Drinking water,2007,19.55161,5065792.11111,Surface water
AFG,Afghanistan,rural,Drinking water,2007,23.60949,4703319.10986,Surface water
AFG,Afghanistan,urban,Drinking water,2007,6.05277,362472.83482,Surface water
AFG,Afghanistan,total,Sanitation,2007,14.42999,3738788.34925,Safely managed service
AFG,Afghanistan,rural,Sanitation,2007,14.63406,2915295.55029,Safely managed service
AFG,Afghanistan,urban,Sanitation,2007,13.75113,823492.65245,Safely managed service
AFG,Afghanistan,total,Drinking water,2007,16.65025,4314055.05968,Safely managed service
AFG,Afghanistan,rural,Drinking water,2007,13.84123,2757354.78819,Safely managed service
AFG,Afghanistan,urban,Drinking water,2007,25.99463,1556700.0766,Safely managed service
AFG,Afghanistan,total,Sanitation,2007,41.53743,10762286.38327,Unimproved
AFG,Afghanistan,rural,Sanitation,2007,42.88153,8542562.49498,Unimproved
AFG,Afghanistan,urban,Sanitation,2007,37.06618,2219724.50031,Unimproved
AFG,Afghanistan,total,Drinking water,2007,34.0782,8829611.49663,Unimproved
AFG,Afghanistan,rural,Drinking water,2007,37.55966,7482374.86187,Unimproved
AFG,Afghanistan,urban,Drinking water,2007,22.49691,1347237.34154,Unimproved
